,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family_size,Age_class,Fare_per_person,Age_group
0,1,0,3,0,22.0,1,0,7.25,S,Mr,1,66.0,3.62,Y
1,2,1,1,1,38.0,1,0,71.28,C,Mrs,1,38.0,35.64,A
2,3,1,3,1,26.0,0,0,7.92,S,Miss,0,78.0,7.92,A
3,4,1,1,1,35.0,1,0,53.1,S,Mrs,1,35.0,26.55,A
4,5,0,3,0,35.0,0,0,8.05,S,Mr,0,105.0,8.05,A
6,7,0,1,0,54.0,0,0,51.86,S,Mr,0,54.0,51.86,A
7,8,0,3,0,2.0,3,1,21.08,S,Master,4,6.0,4.22,C
8,9,1,3,1,27.0,0,2,11.13,S,Mrs,2,81.0,3.71,A
9,10,1,2,1,14.0,1,0,30.07,C,Mrs,1,28.0,15.04,C
10,11,1,3,1,4.0,1,1,16.7,S,Miss,2,12.0,5.57,C
11,12,1,1,1,58.0,0,0,26.55,S,Miss,0,58.0,26.55,A
12,13,0,3,0,20.0,0,0,8.05,S,Mr,0,60.0,8.05,Y
13,14,0,3,0,39.0,1,5,31.28,S,Mr,6,117.0,4.47,A
14,15,0,3,1,14.0,0,0,7.85,S,Miss,0,42.0,7.85,C
15,16,1,2,1,55.0,0,0,16.0,S,Mrs,0,110.0,16.0,A
16,17,0,3,0,2.0,4,1,29.12,Q,Master,5,6.0,4.85,C
18,19,0,3,1,31.0,1,0,18.0,S,Mrs,1,93.0,9.0,A
20,21,0,2,0,35.0,0,0,26.0,S,Mr,0,70.0,26.0,A
21,22,1,2,0,34.0,0,0,13.0,S,Mr,0,68.0,13.0,A
22,23,1,3,1,15.0,0,0,8.03,Q,Miss,0,45.0,8.03,C
23,24,1,1,0,28.0,0,0,35.5,S,Mr,0,28.0,35.5,A
24,25,0,3,1,8.0,3,1,21.08,S,Miss,4,24.0,4.22,C
25,26,1,3,1,38.0,1,5,31.39,S,Mrs,6,114.0,4.48,A
27,28,0,1,0,19.0,3,2,263.0,S,Mr,5,19.0,43.83,Y
30,31,0,1,0,40.0,0,0,27.72,C,Mr,0,40.0,27.72,A
33,34,0,2,0,66.0,0,0,10.5,S,Mr,0,132.0,10.5,E
34,35,0,1,0,28.0,1,0,82.17,C,Mr,1,28.0,41.08,A
35,36,0,1,0,42.0,1,0,52.0,S,Mr,1,42.0,26.0,A
37,38,0,3,0,21.0,0,0,8.05,S,Mr,0,63.0,8.05,Y
38,39,0,3,1,18.0,2,0,18.0,S,Miss,2,54.0,6.0,Y
39,40,1,3,1,14.0,1,0,11.24,C,Miss,1,42.0,5.62,C
40,41,0,3,1,40.0,1,0,9.48,S,Mrs,1,120.0,4.74,A
41,42,0,2,1,27.0,1,0,21.0,S,Mrs,1,54.0,10.5,A
43,44,1,2,1,3.0,1,2,41.58,C,Miss,3,6.0,10.4,C
44,45,1,3,1,19.0,0,0,7.88,Q,Miss,0,57.0,7.88,Y
49,50,0,3,1,18.0,1,0,17.8,S,Mrs,1,54.0,8.9,Y
50,51,0,3,0,7.0,4,1,39.69,S,Master,5,21.0,6.61,C
51,52,0,3,0,21.0,0,0,7.8,S,Mr,0,63.0,7.8,Y
52,53,1,1,1,49.0,1,0,76.73,C,Mrs,1,49.0,38.36,A
53,54,1,2,1,29.0,1,0,26.0,S,Mrs,1,58.0,13.0,A
54,55,0,1,0,65.0,0,1,61.98,C,Mr,1,65.0,30.99,E
56,57,1,2,1,21.0,0,0,10.5,S,Miss,0,42.0,10.5,Y
57,58,0,3,0,28.5,0,0,7.23,C,Mr,0,85.5,7.23,A
58,59,1,2,1,5.0,1,2,27.75,S,Miss,3,10.0,6.94,C
59,60,0,3,0,11.0,5,2,46.9,S,Master,7,33.0,5.86,C
60,61,0,3,0,22.0,0,0,7.23,C,Mr,0,66.0,7.23,Y
62,63,0,1,0,45.0,1,0,83.48,S,Mr,1,45.0,41.74,A
63,64,0,3,0,4.0,3,2,27.9,S,Master,5,12.0,4.65,C
66,67,1,2,1,29.0,0,0,10.5,S,Mrs,0,58.0,10.5,A
67,68,0,3,0,19.0,0,0,8.16,S,Mr,0,57.0,8.16,Y
